group,core15,category,track,category_name,window,n_pubmed,share_kr_pct,activity_index,growth_pct_2125_vs_1620,n_dump_K,n_dump_T,world_share_permille_K,fwci_mean_K,fwci_mean_T,fwci_ge2_pct_K
서울대,Y,R,R,희귀질환,2016-2025,164,18.7215,1.1253,-7.0588,9,410,1.5162,1.9744,6.3419,44.4444
서울대,Y,M1,M,알츠하이머·신경퇴행 질병조절,2016-2025,2306,18.7754,1.1285,30.6,516,1015,3.6409,2.1336,1.9681,30.3502
서울대,Y,M2,M,난치암 근본치료(대체정의: 췌장암·교모세포종·불응성암),2016-2025,984,25.2502,1.5177,19.1537,396,908,6.5567,1.5761,2.0104,18.6869
서울대,Y,M3,M,암 조기발견·액체생검,2016-2025,606,21.3155,1.2812,45.3441,134,174,3.5182,3.2471,1.9099,26.3158
서울대,Y,M4,M,척수손상·신경재생·BCI,2016-2025,240,15.1899,0.913,-9.5238,37,285,1.7182,1.4316,1.8285,30.5556
서울대,Y,M5,M,중증 정신질환 정밀치료,2016-2025,556,22.4194,1.3476,26.9388,104,175,2.2459,1.9654,2.3431,26.9231
서울대,Y,M6,M,팬데믹 대비 범용 백신·플랫폼,2016-2025,149,15.3767,0.9242,627.7778,8,169,1.5873,2.9472,1.666,37.5
서울대,Y,M7,M,항생제 내성 극복,2016-2025,551,12.6579,0.7608,15.2344,80,289,1.5543,1.7393,1.594,37.9747
서울대,Y,M8,M,생체 내 유전자치료·편집,2016-2025,692,20.938,1.2585,35.3741,144,367,3.8323,2.4266,5.3778,36.6197
서울대,Y,M9,M,세포치료 플랫폼,2016-2025,945,17.2414,1.0363,-3.5343,184,524,3.4979,1.8317,2.2354,28.8043
서울대,Y,M10,M,장기 재생·이종장기·인공장기,2016-2025,868,16.6411,1.0002,18.0905,135,892,4.7993,3.0166,1.7662,49.2537
서울대,Y,M11,M,노쇠·노화 중재,2016-2025,593,18.6068,1.1184,78.4038,159,278,4.2752,2.7779,2.1894,32.9114
